,Acres Burned,Latitude,Longitude,Incident Start,County,Cause Type,Start Date
1543,62.0,40.791509,-123.437051,2020-06-30T17:40:16Z,Trinity,Wildfire,2020-06-30
1544,4000.0,35.310132,-118.702732,2020-07-01T16:32:50Z,Kern,Wildfire,2020-07-01
1545,648.0,34.542742,-118.324601,2020-07-01T16:43:16Z,Los Angeles,Wildfire,2020-07-01
1546,500.0,36.9678542,-119.9252132,2020-07-02T15:27:03Z,Madera,Wildfire,2020-07-02
1547,157.0,35.393889,-120.053275,2020-07-03T14:00:40Z,San Luis Obispo,Wildfire,2020-07-03
1548,62.0,34.182436,-117.124353,2020-07-03T16:29:04Z,San Bernardino,Wildfire,2020-07-03
1549,108.0,37.536015,-121.876277,2020-07-04T15:04:41Z,Alameda,Wildfire,2020-07-04
1550,583.0,35.351065,-120.00485,2020-07-05T07:09:01Z,San Luis Obispo,Wildfire,2020-07-05
1551,353.0,37.166733,-121.567505,2020-07-04T07:13:22Z,Santa Clara,Wildfire,2020-07-04
1552,100.0,37.091637,-121.086625,2020-07-05T07:30:23Z,Merced,Wildfire,2020-07-05
1553,67.0,36.750186,-119.116536,2020-07-05T14:39:40Z,Fresno,Wildfire,2020-07-05
1554,5513.0,37.034839,-121.501532,2020-07-05T14:55:49Z,Santa Clara,Wildfire,2020-07-05
1555,1525.0,34.467915,-118.328877,2020-07-05T17:18:35Z,Los Angeles,Wildfire,2020-07-05
1556,298.0,38.02996,-122.25471,2020-07-06T15:32:26Z,Contra Costa,Wildfire,2020-07-06
1557,150.0,37.71984,-121.53524,2020-07-06T16:04:20Z,San Joaquin,Wildfire,2020-07-06
1558,75.0,38.21614,-122.12447,2020-07-06T18:22:56Z,Solano,Wildfire,2020-07-06
1559,32.0,38.58488,-120.941267,2020-07-07T16:06:21Z,El Dorado,Wildfire,2020-07-07
1560,25.0,39.35498,-122.65813,2020-07-07T17:32:13Z,Colusa,Wildfire,2020-07-07
1561,10.0,33.551838,-116.7464168,2020-07-09T14:27:09Z,Riverside,Wildfire,2020-07-09
1562,31.0,37.37731,-121.79349,2020-07-11T10:50:33Z,Santa Clara,Wildfire,2020-07-11
1563,108.0,37.1487,-119.50307,2020-07-11T17:57:49Z,Madera,Wildfire,2020-07-11
1564,2.0,33.623968,-117.108421,2020-07-13T12:55:16Z,Riverside,Wildfire,2020-07-13
1565,33.0,39.43227,-121.37994,2020-07-13T15:06:35Z,Butte,Wildfire,2020-07-13
1566,91.0,33.48429,-116.83552,2020-07-13T15:08:00Z,Riverside,Wildfire,2020-07-13
1567,29667.0,36.09493,-120.52193,2020-07-13T16:40:36Z,Fresno,Wildfire,2020-07-13
1568,1485.0,36.653,-121.04401,2020-07-15T14:04:08Z,San Benito,Wildfire,2020-07-15
1569,48.0,37.42319,-119.95807,2020-07-15T16:44:16Z,Mariposa,Wildfire,2020-07-15
1570,500.0,39.10112,-121.33589,2020-07-15T17:18:23Z,Yuba,Wildfire,2020-07-15
1571,253.0,37.64044,-121.59374,2020-07-16T18:14:18Z,Alameda,Wildfire,2020-07-16
1572,119.0,34.39464,-116.97557,2020-07-17T14:59:54Z,San Bernardino,Wildfire,2020-07-17
1573,557.0,41.79319,-122.69296,2020-07-18T17:18:20Z,Siskiyou,Wildfire,2020-07-18
1574,9564.0,40.420886,-120.86375,2020-07-18T17:28:18Z,Lassen,Wildfire,2020-07-18
1575,333.0,40.462621,-122.792645,2020-07-19T17:05:41Z,Shasta,Wildfire,2020-07-19
1576,22614.0,41.11037,-120.923293,2020-07-20T14:12:25Z,Lassen,Wildfire,2020-07-20
1577,100.0,41.1849445,-123.6986222,2020-07-20T15:44:53Z,Humboldt,Wildfire,2020-07-20
1578,30.0,39.506597,-121.604579,2020-07-20T16:09:57Z,Butte,Wildfire,2020-07-20
1579,75.0,37.977309,-121.620238,2020-07-20T18:04:37Z,Contra Costa,Wildfire,2020-07-20
1580,71.0,34.135626,-117.192142,2020-07-20T19:10:36Z,San Bernardino,Wildfire,2020-07-20
1581,135.0,37.118075,-119.932391,2020-07-20T19:15:32Z,Madera,Wildfire,2020-07-20
1582,120.0,37.518879,-118.711135,2020-07-21T19:26:58Z,Mono,Wildfire,2020-07-21
1583,83261.0,41.699,-121.477,2020-07-24T07:33:21Z,"Siskiyou, Modoc",Wildfire,2020-07-24
1584,145.0,33.93327,-117.033124,2020-07-24T17:32:36Z,Riverside,Wildfire,2020-07-24
1585,138.0,39.013591,-122.359663,2020-07-24T17:47:17Z,Colusa,Wildfire,2020-07-24
1586,250.0,34.028116,-117.429598,2020-07-25T18:16:54Z,Riverside,Wildfire,2020-07-25
1587,51.0,38.420382,-121.044895,2020-07-26T12:57:35Z,Sacramento,Wildfire,2020-07-26
1588,788.0,37.083806,-121.101634,2020-07-27T09:28:40Z,Merced,Wildfire,2020-07-27
1589,321.0,34.75844,-118.72004,2020-07-27T17:19:21Z,Los Angeles,Wildfire,2020-07-27
1590,25.0,40.78804,-124.19954,2020-07-27T18:50:25Z,Humboldt,Wildfire,2020-07-27
1591,100.0,32.62212,-116.77048,2020-07-28T07:49:02Z,San Diego,Wildfire,2020-07-28
1592,3222.0,35.35146,-120.00521,2020-07-28T14:59:38Z,San Luis Obispo,Wildfire,2020-07-28
1593,185.0,34.25143,-117.45479,2020-07-29T17:24:17Z,San Bernardino,Wildfire,2020-07-29
1594,741.0,38.40329,-121.17197,2020-07-29T18:05:20Z,Sacramento,Wildfire,2020-07-29
1595,104.0,33.934137,-117.034461,2020-07-30T14:40:11Z,Riverside,Wildfire,2020-07-30
